date,title,content
2019-04-22,"Malls' glass door, floor damaged by 6.1-quake in Central Luzon","The glass door of a fast-food restaurant at SM Pampanga and a portion of the floor at SM Olongapo were damaged due to the magnitude 6.1 quake that jolted parts of Luzon on Monday afternoon. The electricity supply in the City of San Fernando was reportedly cut off as a preemptive measure. People were also seen rushing outside the malls in Pampanga and Olongapo City. In its initial earthquake bulletin, the Philippine Institute of Volcanology and Seismology (Phivolcs) said the earthquake struck 2 kilometers northeast of this town at 5.11 p.m. The earthquake was of tectonic origin had a depth of 21 kilometers. Intensity 5 was felt in San Felipe, Zambales, and Quezon City. The tremor was also felt in Baguio City, Pampanga, and Bataan."
2019-04-22,Magnitude 6.1 quake kills 5 in Pampanga,"Five persons were confirmed to have died in this province as a result of a powerful earthquake on Monday. The Philippine Institute of Volcanology and Seismology traced the epicenter of the 6.1-magnitude temblor in Castillejos, Zambales. Based on the latest report from the Pampanga Provincial Disaster and Risk Reduction and Management Council (PDRRMC), three of the fatalities were trapped inside the Chuzon Supermarket in Porac town while the two others were hit by a collapsed wall in Barangay Sta. Cruz, Lubao town, both in this province. Governor Lilia Pineda said the identities of the fatalities are still being verified. She said 20 persons have so far been rescued from the collapsed supermarket and brought to the nearest hospital. ""There is ongoing rescue operation in the area,"" she said. The PDRRMC report said there are still some 35 persons believed to be trapped in the collapsed supermarket. Pineda appealed to the Department of Public Works and Highways to send more cranes to be utilized for the rescue operation."
2019-04-23,2nd LD Writethru: Death toll from Monday's Philippine earthquake rises to 16,"The death toll from Monday's 6.1-magnitude earthquake that struck the Zambales province in the Philippine main Luzon Island has risen to 16, the government said on Tuesday. Ricardo Jalad, the executive director of the National Disaster Risk Reduction and Management Council (NDRRMC), said 81 people were also injured and 14 others remain missing in central Luzon provinces of Pampanga and Zambales. Of the 16, the national disaster agency said five were pulled from the collapsed four-storey supermarket building in Porac town, seven from different villages also in Porac town, two in Lubao town, one in Angeles City, in Pampanga province and one in San Marcelino town in Zambales province. A total of 29 structures and buildings were damaged, the NDRRMC said. Monday's earthquake also caused landslide in San Marcelino town, prompting the government to evacuate about 120 families living around the mountain. The Philippine Institute of Volcanology and Seismology (Phivolcs) said Monday's quake was detected at a depth of 12 km, about 18 km northeast of Castillejos, a town in Zambales province in the western part of Luzon. The quake knocked down buildings and walls, and cracked road surfaces in Pampanga province and other parts of central Luzon. A number of churches, including a century-old Roman Catholic church, were also damaged. It also shook high-rise buildings in Metro Manila, the Philippine capital, prompting office workers to dash out of the building offices. Schools and offices in Metro Manila and outlying provinces were closed on Tuesday to make way for inspection of the buildings. Less than 24 hours after the 6.1-magnitude rocked the Philippines on Monday, another 6.5-magnitude earthquake struck the San Julian town in Eastern Samar province in the central Philippines at 1:37 p.m. local time on Tuesday. No casualty has been reported except one minor injury in Tuesday's earthquake so far. The Philippines, which lies along the Pacific Ring of Fire, have numerous active faults and trenches on both sides of the archipelago. Phivolcs said several quakes rattle this archipelagic country every day, though most are not felt. The geographic and geologic settings of the Philippines make this archipelagic country prone to earthquakes. Phivolcs records an average of 20 earthquakes a day and 100 to 150 earthquakes are felt per year. Enditem"
2019-04-23,1st LD: Death toll from Philippine earthquake rises to 16,"The death toll from Monday's 6.1-magnitude earthquake that struck the northern Philippines has risen to 16, the Philippine National Disaster Risk Reduction and Management Council said on Tuesday. Ricardo Salad, executive director of the council, said the earthquake also left 81 people injured while 14 others remained missing in central Luzon provinces of Pampanga and Zambales. Philippine Institute of Volcanology and Seismology said Monday's earthquake was detected at a depth of 12 km about 18 km northeast of Castillejos, a town in Zambales province in the western part of Luzon. Following the first earthquake on Monday, a 6.5-magnitude earthquake struck Eastern Samar province in the central Philippines at 1:37 p.m. local time on Tuesday. No casualties and damage have been reported yet from this earthquake."
2019-04-23,"11 people killed, more than 100 injured in Philippine earthquake","In Philippine, at least 11 people have been killed and more than 100 injured in the 6.1 magnitude earthquake that jolted the northern Philippines yesterday. The quake hit 60km northwest of the capital, Manila, disrupting air, rail and road transport and causing some damage to buildings and infrastructure. The worst of the damage was in the province of Pampanga, which was the site of all 11 fatalities, disaster officials said. The rescuers are scrambling to reach dozens of people feared buried under a building near Manila that collapsed due to the earthquake. The toll could rise as crews fanned out across the region to assess casualties in isolated hamlets that lost power and communications in one of the area's strongest tremors in years."
2019-04-23,Urgent: Death toll from Monday's Philippine earthquake rises to 16,"The death toll from Monday's 6.1-magnitude earthquake that struck the northern Philippines has risen to 16, the Philippine National Disaster Risk Reduction and Management Council said on Tuesday. Ricardo Salad, executive director of the council, said the earthquake also left 81 people injured while 14 others remained missing in central Luzon provinces of Pampanga and Zambales. Philippine Institute of Volcanology and Seismology said Monday's earthquake was detected at a depth of 12 km about 18 km northeast of Castillejos, a town in Zambales province in the western part of Luzon. Following the first earthquake on Monday, a 6.5-magnitude earthquake struck Eastern Samar province in the central Philippines at 1:37 p.m. local time on Tuesday. No casualties and damage have been reported yet from this earthquake."
2019-04-23,Philippine earthquake toll rises to 16,"The death toll from Monday's 6.1-magnitude earthquake that struck the northern Philippines has risen to 16, the Philippine National Disaster Risk Reduction and Management Council said on Tuesday. Ricardo Salad, executive director of the council, said the earthquake also left 81 people injured while 14 others remained missing in central Luzon provinces of Pampanga and Zambales. Philippine Institute of Volcanology and Seismology said Monday's earthquake was detected at a depth of 12 km about 18 km northeast of Castillejos, a town in Zambales province in the western part of Luzon. Following the first earthquake on Monday, a 6.5-magnitude earthquake struck Eastern Samar province in the central Philippines at 1337 hours (local time) on Tuesday. No casualties and damage have been reported yet from this earthquake."
2019-04-23,"Eight killed, dozens feared trapped in Philippine earthquake","t least eight people were killed when a magnitude 6.1 earthquake struck the Philippines' main island of Luzon on Monday and officials feared dozens could be trapped in the rubble of a collapsed commercial building, Reuters reports. The quake hit 60 kilometers (37 miles) northwest of the capital, Manila, disrupting air, rail and road transport and causing some damage to buildings and infrastructure. The province of Pampanga was worst hit. Eight people were killed in Porac town and about 20 injured, provincial governor Lilia Pineda said by telephone, citing information from disaster officials. Rescuers were using heavy-duty equipment and search dogs to try to reach people trapped after a four-storey building went down, crushing the ground-floor supermarket, she said. ""They can be heard crying in pain,"" she said of those trapped. ""It won't be easy to rescue them."" The quake was initially reported as being of 6.3 magnitude and later revised down to 6.1 magnitude, the US Geological Survey and Philippines seismology authorities said. The Philippines is prone to natural disasters, located on the seismically active Pacific ""Ring of Fire"", a horse-shoe shaped band of volcanoes and fault lines that circles the edges of the Pacific Ocean. It is also hit by an average 20 typhoons a year, bringing heavy rains that trigger deadly landslides. Pampanga's international airport at Clark, a former US military base, was closed and scores of flights were canceled after damage to parts of the facility including check-in areas. Large cracks appeared on provincial roads and electricity poles were felled. Rescue teams in Manila were preparing to reinforce efforts to reach people trapped in Pampanga. The government urged people to be calm as rumors of greater death and destruction gained traction online. ""We urge them to refrain from spreading disinformation in social media that may cause undue alarm, panic and stress,"" said presidential spokesman, Salvador Panelo. In Manila, the quake, shortly after 5 p.m., caused tall buildings to sway for several minutes in the main business districts. ""We got nervous, we got dizzy. I ran downstairs with three kids,"" said Arlene Puno, a domestic helper in a high-rise apartment in the Makati financial center. Elevated rail services were halted and workers were evacuated from offices and condominiums, sending a flood of people onto sidewalks and into bus queues and adding more chaos to roads that are among the world's most congested. The quake was initially reported as being of 6.3 magnitude and later revised down to 6.1 magnitude, the US Geological Survey and Philippines seismology authorities said. Mark Genesis Samodio, 23, a maintenance worker at a Makati condominium in the capital, said the quake's impact was unusual, even for a city that has grown used to them. ""I was sitting down then it shook so strong I thought I was being rocked in a cradle,"" he said."
2019-04-23,"11 people killed, more than 100 injured in Philippine earthquake","In Philippine, at least 11 people have been killed and more than 100 injured in the 6.1 magnitude earthquake that jolted the northern Philippines yesterday. The quake hit 60km northwest of the capital, Manila, disrupting air, rail and road transport and causing some damage to buildings and infrastructure. The worst of the damage was in the province of Pampanga, which was the site of all 11 fatalities, disaster officials said. The rescuers are scrambling to reach dozens of people feared buried under a building near Manila that collapsed due to the earthquake. The toll could rise as crews fanned out across the region to assess casualties in isolated hamlets that lost power and communications in one of the area's strongest tremors in years."
2019-04-23,"Death toll from Philippine earthquake rises to 11, 24 missing","Death toll from Philippine earthquake rises to 11, with 24 people missing, mostly in rubble of a four-story building of a supermarket, according to the Associated Press (AP).  According to the AP, a powerful 6.1-magnitude earthquake shook the northern Philippines on Monday, disrupting air, land and rail links and damaging buildings and infrastructure.  ""The worst of the damage was in the province of Pampanga, which was the site of most of the 11 fatalities,"" disaster officials said, adding that dozens of others were injured by falling rubble, including in Manila.  Reports added that aid rescuers pulled two survivors from the collapsed building, where other trapped people could be heard screaming for help as rescuers struggled to save them."
2019-04-23,No Malaysian affected in Philippine earthquake - Wisma Putra,"The Foreign Ministry, Wisma Putra, said today there has been no report of any Malaysian affected by the earthquake that struck the main island of Luzon in the Philippines yesterday.  Wisma Putra, in a statement, also advised Malaysians in the Philippines, visiting or living in the affected areas, to be cautious and follow the instructions of the local authorities.  ""Malaysians requiring consular assistance are also advised to contact the Malaysian Embassy in Manila,"" it said.  Wisma Putra said the Malaysian Embassy in Manila is also in close contact with the local authorities for the latest updates on the situation and for any advisory.  According to media reports, at least nine people were killed in the 6.1-magnitude earthquake that struck the province of Zambales in Luzon Island.  Several other areas were also affected, including Metro Manila, Bulacan, Batangas, Bataan, Pampanga, Baguio City, Cabanatuan City, Palayan City, Gapan City, Santo Domingo and Talavera, Nueva Ecija, Baler and Aurora. "
2019-04-23,"8 dead, several injured after 6.1-magnitude earthquake rocks Philippine's Bodega","At least eight people were killed and several others suffered injuries on Monday after an earthquake of magnitude 6.1 on the Richter scale rocked Bodega town on the Philippine island.According to CNN, the quake was followed by 52 aftershocks.The earthquake was felt in the capital of Manila also. A video has emerged of water gushing down the swimming pool in Anchor Skysuites in Binondo district of Manila.The Indonesian island is prone to earthquakes because of its geographical positioning. It's on the Ring of Fire, an arc of volcanoes and fault lines in the basin of the Pacific Ocean.In September last year, the Indonesian island of Sulawesi was struck by two powerful earthquakes, measuring 7.7 and 6.1 on the Richter scale, and a tsunami causing multitudinous loss of human lives and widespread displacement. As many as 1,944 people were reported dead following the disaster.Tsunamis are also frequent in the region. Besides Earthquake, constant volcanic eruptions also stimulate seismic sea waves.Last year in December, A devastating tsunami had struck Sunda Strait in Indonesia caused by a combination of underwater landslides and volcanic eruption. Around 400 people lost their lives in the disaster."
2019-04-23,Philippines earthquake: Frantic hunt for survivors after deadly tremor,"Buildings collapse in Pamanga as rescuers scramble to find survivors in the rubble Rescue workers carry a survivor out of the collapsed Chuzon supermarket in Porac, Pampanga a day after a 6.3 magnitude earthquake. AFP Philippine rescuers were scrambling to reach dozens of people feared buried under a building that collapsed a day after powerful earthquake north of Manila. The 6.3-magnitude quake struck northwest of the capital on Monday, scientists from the US Geological Survey said, heavily damaging Clark International Airport and sending terrified locals fleeing swaying high-rises. The worst of the damage was in the province of Pampanga, which was the site of most of the 11 fatalities, disaster officials said. Dozens of others were injured by falling rubble, including in Manila. The death toll could rise as crews fanned out across the region to assess damage in isolated villages that lost power and communications in one of the area's strongest tremors in years. Over 400 aftershocks have been registered since the initial earthquake - some as strong as 3.4 magnitude - Philippine seismologists said. Scores of rescuers in the town of Porac worked with cranes and excavators to peel back the concrete structure of a four-storey market building where up to 30 people were unaccounted for. ""They [rescuers] still hear at least one person who is still alive,"" Pampanga Governor Lilia Pineda said. ""This person is buried under concrete slabs."" The earthquake also damaged several centuries-old churches which were crowded with worshippers in recent days as the majority-Catholic Philippines marked the Easter holiday. 'Really swaying' Father Roland Moraleja, who is based in Porac, said the 18th century belfry of Saint Catherine of Alexandria church collapsed in the earthquake. ""It was the only part left from the old church,"" he said. ""The historical value is now gone, but we are hopeful that it will rise again."" High-rise buildings in the capital swayed after the tremor struck Monday evening, leaving some with large cracks in their walls. Video footage emerged of water from a penthouse swimming pool crashing down to streets below. Thousands of travellers were stranded after aviation authorities shut down the secondary Clark Airport, which is located on the site of the former US military base that lies about an hour's drive north of the capital. It was still closed on Tuesday as officials assessed the heavy damage to the terminal building and some cracking on the air traffic control tower. The earthquake was centred on the town of Castillejos, about 100 kilometres northwest of Manila, local geologists said. Dani Justo, a martial arts instructor, told AFP she was at her southern Manila home when the quake struck. ""The clothes hanging on our line were really swaying. My shih tzu [dog] dropped flat on the ground,"" she added.. The government declared Tuesday a holiday for civil servants in Metro Manila to allow for safety inspections of buildings."
2019-04-23,NO MALAYSIAN AFFECTED IN PHILIPPINE EARTHQUAKE - WISMA PUTRA,"The Foreign Ministry, Wisma Putra,said today there has been no report of any Malaysian affected by the earthquake that struck the main island of Luzon in the Philippines yesterday. Wisma Putra, in a statement, also advised Malaysians in the Philippines, visiting or living in the affected areas, to be cautious and follow the instructions ofthe local authorities. ""Malaysians requiring consular assistance are also advised to contact the Malaysian Embassy in Manila,"" it said. Wisma Putra said the Malaysian Embassy in Manila is also in close contact with the local authorities for the latest updates on the situation and for any advisory. According to media reports, at least nine people were killed in the 6.1-magnitude earthquake that struck the province of Zambales in Luzon Island. Several other areas were also affected, including Metro Manila, Bulacan, Batangas, Bataan, Pampanga, Baguio City, Cabanatuan City, Palayan City, Gapan City, Santo Domingo and Talavera, Nueva Ecija, Baler and Aurora."
