label,sentence
resilience,"Furthermore, there were probabilities of 22% and 6% of the economic loss to be between $1,000 million and $10,000 million and between $10,000 million and $100,000 million, respectively."
resilience,"Given the severity of the situation, Albanian Prime Minister Edi Rama declared a state of emergency in Tirana and Durres during December."
resilience,"Recovery efforts are currently continuing in the rubble of collapsed buildings, where residents and emergency crews in cities across the country rescued 45 people from some of the collapsed buildings."
resilience,"Considering the state of emergency and current situation, the recovery and reconstruction process after this earthquake is likely to be lengthy."
resilience,"The earthquake left around 4,000 people homeless."
resilience,"Similar to many previous earthquakes, even the residents of houses and buildings that were still standing, which performed well, remained outside after the earthquake."
resilience,"One of the residents in the capital Tirana indicated he did not know where he would live and described his apartment as “uninhabitable.” An estimated 2,500 people have been displaced by the earthquake and are temporarily being sheltered either in the Niko Dovana Stadium of Durres in tents or in hotels."
resilience,"Particularly because of the very shallow nature of the earthquake (depth of 2.8 km), this earthquake was felt across a wide region: from Las Vegas, about 280 kilometers to the southeast of the epicenter, all the way to the San Francisco Bay Area, about 450 kilometers to the epicenter’s west."
resilience,"Although shaking was felt across a large area, as mentioned earlier, levels of shaking were too small to cause significant damage, injuries or fatalities."
resilience,"The USGS “Did you Feel It?” program documented low levels of shaking in populated areas based on 22,000 voluntary self-reports."
resilience,"Regarding the consequences of the earthquake, USGS PAGER tool estimated that the fatalities are expected to be less than 1 (which is indeed the case for this event), between 1 and 10, and between 10 and 100, with probabilities of 65%, 30%, and 4%, respectively."
resilience,"Regarding economic losses, this USGS tool also estimated with 100% certainty that such loss would be under $1 million."
resilience,"Still, this event is another reminder of the potential of major earthquakes taking place in the U.S."
resilience,"Similar to the Mw 6.5 Idaho earthquake, had the earthquake occurred closer to populous areas with this shallow depth, there could have been severe consequences, and these, combined with the ongoing COVID-19 pandemic, could have introduced additional stresses on the affected population along with potential economic challenges."
resilience,"A potential complication in that case would be due to the normal practice of placing displaced people in mass evacuation centers, where the social distancing requirements would not be possible."
other,Discover Thomson Reuters
other,By Reuters Staff
other,2 Min Read
other,Reporting by Bhargav Acharya in Bengaluru; Editing by Himani Sarkar and Clarence Fernandez & Shri Navaratnam
other,Our Standards: The Thomson Reuters Trust Principles.
other,All quotes delayed a minimum of 15 minutes.
other,See here for a complete list of exchanges and delays.
other,No adblocker allowed
other,View other articles
